"PVWatts Hourly PV Performance Data"
"Requested Location","33027, USA"
"Location","Lat, Lng: 25.97, -80.34"
"Latitude (DD)","25.97"
"Longitude (DD)","-80.34"
"Elevation (m)","3"
"DC System Size (kW)","259.2"
"Module Type","Premium"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","7"
"Array Azimuth (deg)","127.12"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1"
"Inverter Efficiency (%)","97"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","Yes (0.7)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"11","18","9","831","84","24","2.6","0.15","628.911","36.978","134592.718","129936.661"
"11","18","10","877","96","25","2.5","0.15","753.728","40.896","158052.421","152801.939"
"11","18","11","896","102","25","2.3","0.15","807.694","42.753","167576.854","162085.04"
"11","18","12","888","108","26","2.3","0.15","788.013","43.368","162949.079","157574.525"
"11","18","13","857","108","26","2.4","0.15","696.929","41.085","145583.875","140649.323"
"11","18","14","787","106","26","2.4","0.15","542.076","37.719","114919.955","110762.369"
"11","18","15","148","165","26","2.4","0.15","223.065","30.742","46181.207","43765.331"
"11","18","16","409","67","25","2.1","0.15","135.376","27.762","23490.564","21649.627"
"11","18","17","0","0","24","1.9","0.15","0","0","0","0"
"11","18","18","0","0","24","1.9","0.15","0","24","0","0"
"11","18","19","0","0","23","1.8","0.15","0","23","0","0"
"11","18","20","0","0","23","1.7","0.15","0","23","0","0"
"11","18","21","0","0","23","1.6","0.15","0","23","0","0"
"11","18","22","0","0","23","1.6","0.15","0","23","0","0"
"11","18","23","0","0","23","1.5","0.15","0","23","0","0"
"11","19","0","0","0","22","1.4","0.15","0","22","0","0"
"11","19","1","0","0","22","1.4","0.15","0","22","0","0"
"11","19","2","0","0","22","1.4","0.15","0","22","0","0"
"11","19","3","0","0","22","1.5","0.15","0","22","0","0"
"11","19","4","0","0","21","1.7","0.15","0","21","0","0"
"11","19","5","0","0","21","2","0.15","0","21","0","0"
"11","19","6","0","0","21","2.3","0.15","0","21","0","0"
"11","19","7","485","41","21","2.8","0.15","185.909","24.668","35234.097","33095.601"
"11","19","8","735","65","22","3.1","0.15","435.642","30.153","94510.351","90869.906"
"11","19","9","845","77","23","3","0.15","627.42","35.078","135316.579","130642.18"
"11","19","10","894","85","24","2.8","0.15","751.525","39.026","158822.715","153552.715"
"11","19","11","912","91","25","2.5","0.15","805.717","42.064","167713.468","162218.193"
"11","19","12","603","214","26","2.3","0.15","686.034","41.058","142059.886","137214.625"
"11","19","13","98","301","26","2.2","0.15","377.731","34.383","78222.483","74994.742"
"11","19","14","798","98","26","2","0.15","538.382","38.585","113807.951","109678.541"
"11","19","15","674","89","26","1.8","0.15","341.669","34.127","69433.53","66428.484"
"11","19","16","450","60","25","1.8","0.15","135.049","27.901","22955.003","21127.636"
"11","19","17","0","0","24","1.9","0.15","0","0","0","0"
"11","19","18","0","0","24","2.1","0.15","0","24","0","0"
"11","19","19","0","0","24","2.4","0.15","0","24","0","0"
"11","19","20","0","0","23","2.6","0.15","0","23","0","0"
"11","19","21","0","0","23","2.6","0.15","0","23","0","0"
"11","19","22","0","0","23","2.5","0.15","0","23","0","0"
"11","19","23","0","0","23","2.2","0.15","0","23","0","0"
"11","20","0","0","0","22","2","0.15","0","22","0","0"
"11","20","1","0","0","22","1.8","0.15","0","22","0","0"
"11","20","2","0","0","22","1.7","0.15","0","22","0","0"
"11","20","3","0","0","22","1.6","0.15","0","22","0","0"
"11","20","4","0","0","22","1.7","0.15","0","22","0","0"
"11","20","5","0","0","22","1.8","0.15","0","22","0","0"
"11","20","6","0","0","22","2","0.15","0","22","0","0"
"11","20","7","424","43","22","2.3","0.15","170.194","25.678","32061.92","30003.801"
"11","20","8","679","71","23","2.2","0.15","414.722","32.112","89093.514","85590.321"
"11","20","9","276","216","24","1.6","0.15","414.318","34.391","87595.84","84130.595"
"11","20","10","349","268","25","1.1","0.15","547.442","40.475","113012.308","108903.058"
"11","20","11","335","308","25","1","0.15","589.276","42.116","120415.928","116119.084"
"11","20","12","209","335","26","1","0.15","509.731","40.781","103887.802","100009.75"
"11","20","13","537","218","26","1.1","0.15","591.89","42.87","121629.234","117301.647"
"11","20","14","326","225","26","1.2","0.15","409.545","37.352","85390.189","81980.832"
"11","20","15","635","95","26","1.4","0.15","332.553","34.641","67421.331","64467.271"
"11","20","16","153","74","25","1.4","0.15","99.269","27.47","18568.474","16852.254"
"11","20","17","0","0","25","1.5","0.15","0","0","0","0"
"11","20","18","0","0","24","1.7","0.15","0","24","0","0"
"11","20","19","0","0","24","1.8","0.15","0","24","0","0"
"11","20","20","0","0","24","1.9","0.15","0","24","0","0"
"11","20","21","0","0","24","1.9","0.15","0","24","0","0"
"11","20","22","0","0","23","1.9","0.15","0","23","0","0"
"11","20","23","0","0","23","1.8","0.15","0","23","0","0"
"11","21","0","0","0","23","1.8","0.15","0","23","0","0"
"11","21","1","0","0","23","1.7","0.15","0","23","0","0"
